event_id,user_id,event_date,day_index,event_type,concept_id,concept_name,category,difficulty,elapsed_days,prior_exposures,prior_accuracy,study_minutes,quiz_score,recall_correct
user_002-d12-e018,user_002,2026-06-13,12,study,linear-regression,Linear Regression,machine-learning,0.5,2,2,1.0,24,,
user_002-d12-e019,user_002,2026-06-13,12,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,8,1,0.0,35,,
user_002-d13-e020,user_002,2026-06-14,13,quiz,vector-db,Vector Databases,ai,0.58,2,2,1.0,,43,0
user_002-d13-e021,user_002,2026-06-14,13,study,pandas,Pandas DataFrames,data,0.38,5,2,0.0,10,,
user_002-d14-e022,user_002,2026-06-15,14,quiz,python-basics,Python Basics,programming,0.22,3,3,0.0,,82,1
user_002-d15-e023,user_002,2026-06-16,15,quiz,python-basics,Python Basics,programming,0.22,1,4,1.0,,94,1
user_002-d15-e024,user_002,2026-06-16,15,quiz,pandas,Pandas DataFrames,data,0.38,2,3,0.0,,31,0
user_002-d16-e025,user_002,2026-06-17,16,quiz,vector-db,Vector Databases,ai,0.58,3,3,0.5,,46,0
user_002-d16-e026,user_002,2026-06-17,16,study,fastapi,FastAPI Backend,backend,0.4,0,0,0.0,23,,
user_002-d16-e027,user_002,2026-06-17,16,quiz,linear-regression,Linear Regression,machine-learning,0.5,4,3,1.0,,22,0
user_002-d17-e028,user_002,2026-06-18,17,quiz,linear-regression,Linear Regression,machine-learning,0.5,1,4,0.5,,100,1
user_002-d17-e029,user_002,2026-06-18,17,study,pandas,Pandas DataFrames,data,0.38,2,4,0.0,20,,
user_002-d17-e030,user_002,2026-06-18,17,quiz,statistics,Statistics Fundamentals,data-science,0.55,11,2,0.0,,37,0
user_002-d18-e031,user_002,2026-06-19,18,quiz,vector-db,Vector Databases,ai,0.58,2,4,0.333,,21,0
user_002-d20-e032,user_002,2026-06-21,20,study,statistics,Statistics Fundamentals,data-science,0.55,3,3,0.0,35,,
user_002-d20-e033,user_002,2026-06-21,20,study,linear-regression,Linear Regression,machine-learning,0.5,3,5,0.667,40,,
user_002-d20-e034,user_002,2026-06-21,20,study,python-basics,Python Basics,programming,0.22,5,5,1.0,10,,
user_002-d21-e035,user_002,2026-06-22,21,study,linear-regression,Linear Regression,machine-learning,0.5,1,6,0.667,20,,
user_002-d21-e036,user_002,2026-06-22,21,quiz,sql-joins,SQL Joins,data,0.42,10,3,0.0,,59,0
user_002-d22-e037,user_002,2026-06-23,22,quiz,fastapi,FastAPI Backend,backend,0.4,6,1,0.0,,62,0
user_002-d23-e038,user_002,2026-06-24,23,study,statistics,Statistics Fundamentals,data-science,0.55,3,4,0.0,20,,
user_002-d24-e039,user_002,2026-06-25,24,quiz,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,12,2,0.0,,56,0
user_002-d25-e040,user_002,2026-06-26,25,study,sql-joins,SQL Joins,data,0.42,4,4,0.0,21,,
user_002-d26-e041,user_002,2026-06-27,26,study,vector-db,Vector Databases,ai,0.58,8,5,0.25,36,,
user_002-d27-e042,user_002,2026-06-28,27,quiz,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,3,3,0.0,,67,0
user_002-d28-e043,user_002,2026-06-29,28,quiz,python-basics,Python Basics,programming,0.22,8,6,1.0,,25,0
user_002-d29-e044,user_002,2026-06-30,29,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,2,4,0.0,20,,
user_002-d29-e045,user_002,2026-06-30,29,study,sql-joins,SQL Joins,data,0.42,4,5,0.0,38,,
user_002-d29-e046,user_002,2026-06-30,29,study,linear-regression,Linear Regression,machine-learning,0.5,8,7,0.667,34,,
user_003-d00-e001,user_003,2026-06-01,0,study,fastapi,FastAPI Backend,backend,0.4,0,0,0.0,41,,
user_003-d00-e002,user_003,2026-06-01,0,study,python-basics,Python Basics,programming,0.22,0,0,0.0,23,,
user_003-d01-e003,user_003,2026-06-02,1,study,classification,Classification Metrics,machine-learning,0.52,0,0,0.0,37,,
user_003-d01-e004,user_003,2026-06-02,1,study,python-basics,Python Basics,programming,0.22,1,1,0.0,36,,
user_003-d01-e005,user_003,2026-06-02,1,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,0,0.0,40,,
user_003-d02-e006,user_003,2026-06-03,2,study,rag,Retrieval-Augmented Generation,ai,0.62,0,0,0.0,18,,
user_003-d03-e007,user_003,2026-06-04,3,study,pandas,Pandas DataFrames,data,0.38,0,0,0.0,23,,
user_003-d03-e008,user_003,2026-06-04,3,study,statistics,Statistics Fundamentals,data-science,0.55,0,0,0.0,41,,
user_003-d04-e009,user_003,2026-06-05,4,study,sql-joins,SQL Joins,data,0.42,0,0,0.0,12,,
user_003-d04-e010,user_003,2026-06-05,4,study,classification,Classification Metrics,machine-learning,0.52,3,1,0.0,28,,
user_003-d05-e011,user_003,2026-06-06,5,study,classification,Classification Metrics,machine-learning,0.52,1,2,0.0,17,,
user_003-d05-e012,user_003,2026-06-06,5,study,rag,Retrieval-Augmented Generation,ai,0.62,3,1,0.0,29,,
user_003-d05-e013,user_003,2026-06-06,5,study,sql-joins,SQL Joins,data,0.42,1,1,0.0,34,,
user_003-d06-e014,user_003,2026-06-07,6,study,fastapi,FastAPI Backend,backend,0.4,6,1,0.0,44,,
user_003-d07-e015,user_003,2026-06-08,7,study,pandas,Pandas DataFrames,data,0.38,4,1,0.0,32,,
user_003-d08-e016,user_003,2026-06-09,8,study,classification,Classification Metrics,machine-learning,0.52,3,3,0.0,42,,
user_003-d08-e017,user_003,2026-06-09,8,study,pandas,Pandas DataFrames,data,0.38,1,2,0.0,25,,
user_003-d08-e018,user_003,2026-06-09,8,study,rag,Retrieval-Augmented Generation,ai,0.62,3,2,0.0,33,,
user_003-d09-e019,user_003,2026-06-10,9,quiz,sql-joins,SQL Joins,data,0.42,4,2,0.0,,45,0
user_003-d09-e020,user_003,2026-06-10,9,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,8,1,0.0,35,,
user_003-d10-e021,user_003,2026-06-11,10,study,rag,Retrieval-Augmented Generation,ai,0.62,2,3,0.0,28,,
user_003-d11-e022,user_003,2026-06-12,11,quiz,fastapi,FastAPI Backend,backend,0.4,5,2,0.0,,46,0
user_003-d12-e023,user_003,2026-06-13,12,quiz,rag,Retrieval-Augmented Generation,ai,0.62,2,4,0.0,,86,1
user_003-d13-e024,user_003,2026-06-14,13,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,4,2,0.0,9,,
user_003-d14-e025,user_003,2026-06-15,14,quiz,rag,Retrieval-Augmented Generation,ai,0.62,2,5,1.0,,90,1
user_003-d14-e026,user_003,2026-06-15,14,quiz,python-basics,Python Basics,programming,0.22,13,2,0.0,,36,0
user_003-d14-e027,user_003,2026-06-15,14,study,sql-joins,SQL Joins,data,0.42,5,3,0.0,15,,
user_003-d15-e028,user_003,2026-06-16,15,study,pandas,Pandas DataFrames,data,0.38,7,3,0.0,9,,
user_003-d15-e029,user_003,2026-06-16,15,study,vector-db,Vector Databases,ai,0.58,0,0,0.0,32,,
user_003-d16-e030,user_003,2026-06-17,16,study,rag,Retrieval-Augmented Generation,ai,0.62,2,6,1.0,23,,
user_003-d18-e031,user_003,2026-06-19,18,quiz,vector-db,Vector Databases,ai,0.58,3,1,0.0,,56,0
user_003-d18-e032,user_003,2026-06-19,18,study,linear-regression,Linear Regression,machine-learning,0.5,0,0,0.0,42,,
user_003-d19-e033,user_003,2026-06-20,19,quiz,python-basics,Python Basics,programming,0.22,5,3,0.0,,88,1
user_003-d20-e034,user_003,2026-06-21,20,quiz,pandas,Pandas DataFrames,data,0.38,5,4,0.0,,65,0
user_003-d20-e035,user_003,2026-06-21,20,quiz,classification,Classification Metrics,machine-learning,0.52,12,4,0.0,,37,0
user_003-d20-e036,user_003,2026-06-21,20,quiz,python-basics,Python Basics,programming,0.22,1,4,0.5,,98,1
user_003-d21-e037,user_003,2026-06-22,21,quiz,classification,Classification Metrics,machine-learning,0.52,1,5,0.0,,89,1
user_003-d21-e038,user_003,2026-06-22,21,study,sql-joins,SQL Joins,data,0.42,7,4,0.0,32,,
user_003-d22-e039,user_003,2026-06-23,22,study,pandas,Pandas DataFrames,data,0.38,2,5,0.0,21,,
user_003-d23-e040,user_003,2026-06-24,23,quiz,pandas,Pandas DataFrames,data,0.38,1,6,0.0,,83,1
user_003-d24-e041,user_003,2026-06-25,24,study,classification,Classification Metrics,machine-learning,0.52,3,6,0.5,34,,
user_003-d24-e042,user_003,2026-06-25,24,study,fastapi,FastAPI Backend,backend,0.4,13,3,0.0,38,,
user_003-d25-e043,user_003,2026-06-26,25,study,fastapi,FastAPI Backend,backend,0.4,1,4,0.0,26,,
user_003-d25-e044,user_003,2026-06-26,25,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,12,3,0.0,45,,
user_003-d26-e045,user_003,2026-06-27,26,study,pandas,Pandas DataFrames,data,0.38,3,7,0.5,43,,
user_003-d27-e046,user_003,2026-06-28,27,study,pandas,Pandas DataFrames,data,0.38,1,8,0.5,22,,
user_003-d28-e047,user_003,2026-06-29,28,quiz,rag,Retrieval-Augmented Generation,ai,0.62,12,7,1.0,,64,0
user_003-d29-e048,user_003,2026-06-30,29,study,sql-joins,SQL Joins,data,0.42,8,5,0.0,45,,
user_004-d00-e001,user_004,2026-06-01,0,study,pandas,Pandas DataFrames,data,0.38,0,0,0.0,25,,
user_004-d03-e002,user_004,2026-06-04,3,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,0,0.0,39,,
user_004-d06-e003,user_004,2026-06-07,6,study,statistics,Statistics Fundamentals,data-science,0.55,0,0,0.0,19,,
user_004-d07-e004,user_004,2026-06-08,7,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,4,1,0.0,12,,
user_004-d07-e005,user_004,2026-06-08,7,study,oop,Object-Oriented Programming,programming,0.48,0,0,0.0,44,,
user_004-d07-e006,user_004,2026-06-08,7,study,oop,Object-Oriented Programming,programming,0.48,0,1,0.0,44,,
user_004-d08-e007,user_004,2026-06-09,8,study,pandas,Pandas DataFrames,data,0.38,8,1,0.0,34,,
user_004-d08-e008,user_004,2026-06-09,8,study,linear-regression,Linear Regression,machine-learning,0.5,0,0,0.0,22,,
user_004-d08-e009,user_004,2026-06-09,8,study,classification,Classification Metrics,machine-learning,0.52,0,0,0.0,36,,
user_004-d09-e010,user_004,2026-06-10,9,quiz,linear-regression,Linear Regression,machine-learning,0.5,1,1,0.0,,94,1
user_004-d09-e011,user_004,2026-06-10,9,study,fastapi,FastAPI Backend,backend,0.4,0,0,0.0,14,,
user_004-d09-e012,user_004,2026-06-10,9,quiz,pandas,Pandas DataFrames,data,0.38,1,2,0.0,,77,1
user_004-d10-e013,user_004,2026-06-11,10,study,oop,Object-Oriented Programming,programming,0.48,3,2,0.0,34,,
user_004-d11-e014,user_004,2026-06-12,11,study,statistics,Statistics Fundamentals,data-science,0.55,5,1,0.0,26,,
user_004-d12-e015,user_004,2026-06-13,12,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,5,2,0.0,22,,
user_004-d12-e016,user_004,2026-06-13,12,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,3,0.0,20,,
user_004-d13-e017,user_004,2026-06-14,13,study,fastapi,FastAPI Backend,backend,0.4,4,1,0.0,25,,
user_004-d14-e018,user_004,2026-06-15,14,quiz,pandas,Pandas DataFrames,data,0.38,5,3,1.0,,56,0
user_004-d14-e019,user_004,2026-06-15,14,study,rag,Retrieval-Augmented Generation,ai,0.62,0,0,0.0,15,,
user_004-d14-e020,user_004,2026-06-15,14,quiz,statistics,Statistics Fundamentals,data-science,0.55,3,2,0.0,,52,0
user_004-d15-e021,user_004,2026-06-16,15,study,linear-regression,Linear Regression,machine-learning,0.5,6,2,1.0,35,,
user_004-d15-e022,user_004,2026-06-16,15,study,linear-regression,Linear Regression,machine-learning,0.5,0,3,1.0,13,,
user_004-d16-e023,user_004,2026-06-17,16,study,linear-regression,Linear Regression,machine-learning,0.5,1,4,1.0,9,,
user_004-d17-e024,user_004,2026-06-18,17,study,statistics,Statistics Fundamentals,data-science,0.55,3,3,0.0,19,,
user_004-d17-e025,user_004,2026-06-18,17,study,fastapi,FastAPI Backend,backend,0.4,4,2,0.0,25,,
user_004-d17-e026,user_004,2026-06-18,17,study,linear-regression,Linear Regression,machine-learning,0.5,1,5,1.0,39,,
user_004-d18-e027,user_004,2026-06-19,18,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,6,4,0.0,14,,
user_004-d18-e028,user_004,2026-06-19,18,study,linear-regression,Linear Regression,machine-learning,0.5,1,6,1.0,39,,
user_004-d18-e029,user_004,2026-06-19,18,quiz,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,5,0.0,,89,1
user_004-d20-e030,user_004,2026-06-21,20,quiz,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,2,6,1.0,,20,0
user_004-d21-e031,user_004,2026-06-22,21,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,1,7,0.5,41,,
user_004-d21-e032,user_004,2026-06-22,21,quiz,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,8,0.5,,81,1
user_004-d22-e033,user_004,2026-06-23,22,study,statistics,Statistics Fundamentals,data-science,0.55,5,4,0.0,39,,
user_004-d23-e034,user_004,2026-06-24,23,study,vector-db,Vector Databases,ai,0.58,0,0,0.0,23,,
user_004-d24-e035,user_004,2026-06-25,24,study,oop,Object-Oriented Programming,programming,0.48,14,3,0.0,13,,
user_004-d24-e036,user_004,2026-06-25,24,study,oop,Object-Oriented Programming,programming,0.48,0,4,0.0,15,,
user_004-d25-e037,user_004,2026-06-26,25,study,fastapi,FastAPI Backend,backend,0.4,8,3,0.0,25,,
user_004-d25-e038,user_004,2026-06-26,25,quiz,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,4,9,0.667,,92,1
user_004-d26-e039,user_004,2026-06-27,26,study,linear-regression,Linear Regression,machine-learning,0.5,8,7,1.0,16,,
user_004-d27-e040,user_004,2026-06-28,27,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,2,10,0.75,40,,
user_004-d27-e041,user_004,2026-06-28,27,study,oop,Object-Oriented Programming,programming,0.48,3,5,0.0,27,,
user_004-d27-e042,user_004,2026-06-28,27,quiz,vector-db,Vector Databases,ai,0.58,4,1,0.0,,29,0
user_004-d28-e043,user_004,2026-06-29,28,study,statistics,Statistics Fundamentals,data-science,0.55,6,5,0.0,42,,
user_004-d29-e044,user_004,2026-06-30,29,quiz,pandas,Pandas DataFrames,data,0.38,15,4,0.5,,44,0
user_005-d00-e001,user_005,2026-06-01,0,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,0,0,0.0,17,,
user_005-d00-e002,user_005,2026-06-01,0,study,linear-regression,Linear Regression,machine-learning,0.5,0,0,0.0,16,,
user_005-d00-e003,user_005,2026-06-01,0,study,classification,Classification Metrics,machine-learning,0.52,0,0,0.0,14,,
user_005-d01-e004,user_005,2026-06-02,1,study,vector-db,Vector Databases,ai,0.58,0,0,0.0,8,,
user_005-d01-e005,user_005,2026-06-02,1,quiz,vector-db,Vector Databases,ai,0.58,0,1,0.0,,77,1
user_005-d01-e006,user_005,2026-06-02,1,study,classification,Classification Metrics,machine-learning,0.52,1,1,0.0,33,,
user_005-d02-e007,user_005,2026-06-03,2,quiz,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,2,1,0.0,,40,0
user_005-d02-e008,user_005,2026-06-03,2,quiz,vector-db,Vector Databases,ai,0.58,1,2,1.0,,77,1
user_005-d03-e009,user_005,2026-06-04,3,quiz,classification,Classification Metrics,machine-learning,0.52,2,2,0.0,,47,0
user_005-d04-e010,user_005,2026-06-05,4,study,fastapi,FastAPI Backend,backend,0.4,0,0,0.0,14,,
user_005-d04-e011,user_005,2026-06-05,4,quiz,classification,Classification Metrics,machine-learning,0.52,1,3,0.0,,100,1
user_005-d04-e012,user_005,2026-06-05,4,study,classification,Classification Metrics,machine-learning,0.52,0,4,0.5,17,,
user_005-d05-e013,user_005,2026-06-06,5,study,rag,Retrieval-Augmented Generation,ai,0.62,0,0,0.0,18,,
user_005-d06-e014,user_005,2026-06-07,6,study,vector-db,Vector Databases,ai,0.58,4,3,1.0,23,,
user_005-d07-e015,user_005,2026-06-08,7,study,rag,Retrieval-Augmented Generation,ai,0.62,2,1,0.0,24,,
user_005-d07-e016,user_005,2026-06-08,7,quiz,linear-regression,Linear Regression,machine-learning,0.5,7,1,0.0,,38,0
user_005-d08-e017,user_005,2026-06-09,8,quiz,vector-db,Vector Databases,ai,0.58,2,4,1.0,,39,0
user_005-d08-e018,user_005,2026-06-09,8,quiz,vector-db,Vector Databases,ai,0.58,0,5,0.667,,84,1
user_005-d09-e019,user_005,2026-06-10,9,study,vector-db,Vector Databases,ai,0.58,1,6,0.75,32,,
user_005-d10-e020,user_005,2026-06-11,10,study,classification,Classification Metrics,machine-learning,0.52,6,5,0.5,33,,
user_005-d10-e021,user_005,2026-06-11,10,quiz,linear-regression,Linear Regression,machine-learning,0.5,3,2,0.0,,38,0
user_005-d11-e022,user_005,2026-06-12,11,study,classification,Classification Metrics,machine-learning,0.52,1,6,0.5,20,,
user_005-d11-e023,user_005,2026-06-12,11,quiz,rag,Retrieval-Augmented Generation,ai,0.62,4,2,0.0,,61,0
user_005-d13-e024,user_005,2026-06-14,13,quiz,classification,Classification Metrics,machine-learning,0.52,2,7,0.5,,84,1
user_005-d13-e025,user_005,2026-06-14,13,study,vector-db,Vector Databases,ai,0.58,4,7,0.75,16,,
user_005-d14-e026,user_005,2026-06-15,14,study,linear-regression,Linear Regression,machine-learning,0.5,4,3,0.0,25,,
user_005-d14-e027,user_005,2026-06-15,14,study,statistics,Statistics Fundamentals,data-science,0.55,0,0,0.0,38,,
user_005-d15-e028,user_005,2026-06-16,15,quiz,classification,Classification Metrics,machine-learning,0.52,2,8,0.667,,77,1
user_005-d15-e029,user_005,2026-06-16,15,quiz,rag,Retrieval-Augmented Generation,ai,0.62,4,3,0.0,,45,0
user_005-d15-e030,user_005,2026-06-16,15,study,prompt-engineering,Prompt Engineering,ai,0.35,0,0,0.0,31,,
user_005-d17-e031,user_005,2026-06-18,17,study,linear-regression,Linear Regression,machine-learning,0.5,3,4,0.0,24,,
user_005-d18-e032,user_005,2026-06-19,18,study,linear-regression,Linear Regression,machine-learning,0.5,1,5,0.0,22,,
user_005-d18-e033,user_005,2026-06-19,18,quiz,classification,Classification Metrics,machine-learning,0.52,3,9,0.75,,77,1
user_005-d19-e034,user_005,2026-06-20,19,quiz,classification,Classification Metrics,machine-learning,0.52,1,10,0.8,,76,1
user_005-d19-e035,user_005,2026-06-20,19,quiz,statistics,Statistics Fundamentals,data-science,0.55,5,1,0.0,,35,0
user_005-d20-e036,user_005,2026-06-21,20,study,vector-db,Vector Databases,ai,0.58,7,8,0.75,42,,
user_005-d20-e037,user_005,2026-06-21,20,quiz,rag,Retrieval-Augmented Generation,ai,0.62,5,4,0.0,,51,0
user_005-d20-e038,user_005,2026-06-21,20,study,classification,Classification Metrics,machine-learning,0.52,1,11,0.833,31,,
user_005-d21-e039,user_005,2026-06-22,21,quiz,rag,Retrieval-Augmented Generation,ai,0.62,1,5,0.0,,96,1
user_005-d22-e040,user_005,2026-06-23,22,study,neo4j-graph,Neo4j Knowledge Graphs,backend,0.57,20,2,0.0,33,,
user_005-d23-e041,user_005,2026-06-24,23,study,rag,Retrieval-Augmented Generation,ai,0.62,2,6,0.25,21,,
user_005-d24-e042,user_005,2026-06-25,24,study,linear-regression,Linear Regression,machine-learning,0.5,6,6,0.0,29,,
user_005-d24-e043,user_005,2026-06-25,24,quiz,rag,Retrieval-Augmented Generation,ai,0.62,1,7,0.25,,99,1
