user_id,concept_id,event_date,day_index,difficulty,elapsed_days,prior_exposures,successful_recalls,failed_recalls,prior_accuracy,motivation,prior_knowledge,quiz_score,recall_correct,true_recall_probability
user_002,linear-regression,2026-06-11,10,0.5,1,1,0,0,0.0,0.825,0.82,92,1,0.6645
user_002,sql-joins,2026-06-12,11,0.42,3,2,0,0,0.0,0.825,0.82,29,0,0.3577
user_002,vector-db,2026-06-12,11,0.58,1,1,0,0,0.0,0.825,0.82,83,1,0.5902
user_002,oop,2026-06-13,12,0.48,11,1,0,0,0.0,0.825,0.82,22,0,0.0857
user_002,vector-db,2026-06-14,13,0.58,2,2,1,0,1.0,0.825,0.82,43,0,0.4525
user_002,python-basics,2026-06-15,14,0.22,3,3,0,0,0.0,0.825,0.82,82,1,0.5337
user_002,python-basics,2026-06-16,15,0.22,1,4,1,0,1.0,0.825,0.82,94,1,0.8895
user_002,pandas,2026-06-16,15,0.38,2,3,0,1,0.0,0.825,0.82,31,0,0.4885
user_002,vector-db,2026-06-17,16,0.58,3,3,1,1,0.5,0.825,0.82,46,0,0.2663
user_002,linear-regression,2026-06-17,16,0.5,4,3,1,0,1.0,0.825,0.82,22,0,0.3321
user_002,linear-regression,2026-06-18,17,0.5,1,4,1,1,0.5,0.825,0.82,100,1,0.757
user_002,statistics,2026-06-18,17,0.55,11,2,0,0,0.0,0.825,0.82,37,0,0.0871
user_002,vector-db,2026-06-19,18,0.58,2,4,1,2,0.333,0.825,0.82,21,0,0.3595
user_002,sql-joins,2026-06-22,21,0.42,10,3,0,1,0.0,0.825,0.82,59,0,0.0912
user_002,fastapi,2026-06-23,22,0.4,6,1,0,0,0.0,0.825,0.82,62,0,0.1332
user_002,neo4j-graph,2026-06-25,24,0.57,12,2,0,0,0.0,0.825,0.82,56,0,0.087
user_002,neo4j-graph,2026-06-28,27,0.57,3,3,0,1,0.0,0.825,0.82,67,0,0.2798
user_002,python-basics,2026-06-29,28,0.22,8,6,2,0,1.0,0.825,0.82,25,0,0.3466
user_003,sql-joins,2026-06-10,9,0.42,4,2,0,0,0.0,1.126,0.553,45,0,0.2682
user_003,fastapi,2026-06-12,11,0.4,5,2,0,0,0.0,1.126,0.553,46,0,0.2392
user_003,rag,2026-06-13,12,0.62,2,4,0,0,0.0,1.126,0.553,86,1,0.528
user_003,rag,2026-06-15,14,0.62,2,5,1,0,1.0,1.126,0.553,90,1,0.5917
user_003,python-basics,2026-06-15,14,0.22,13,2,0,0,0.0,1.126,0.553,36,0,0.0948
user_003,vector-db,2026-06-19,18,0.58,3,1,0,0,0.0,1.126,0.553,56,0,0.2247
user_003,python-basics,2026-06-20,19,0.22,5,3,0,1,0.0,1.126,0.553,88,1,0.2454
user_003,pandas,2026-06-21,20,0.38,5,4,0,0,0.0,1.126,0.553,65,0,0.3184
user_003,classification,2026-06-21,20,0.52,12,4,0,0,0.0,1.126,0.553,37,0,0.0981
user_003,python-basics,2026-06-21,20,0.22,1,4,1,1,0.5,1.126,0.553,98,1,0.8395
user_003,classification,2026-06-22,21,0.52,1,5,0,1,0.0,1.126,0.553,89,1,0.7685
user_003,pandas,2026-06-24,23,0.38,1,6,0,1,0.0,1.126,0.553,83,1,0.8335
user_003,rag,2026-06-29,28,0.62,12,7,2,0,1.0,1.126,0.553,64,0,0.122
user_004,linear-regression,2026-06-10,9,0.5,1,1,0,0,0.0,1.185,0.517,94,1,0.6384
user_004,pandas,2026-06-10,9,0.38,1,2,0,0,0.0,1.185,0.517,77,1,0.7625
user_004,pandas,2026-06-15,14,0.38,5,3,1,0,1.0,1.185,0.517,56,0,0.3038
user_004,statistics,2026-06-15,14,0.55,3,2,0,0,0.0,1.185,0.517,52,0,0.2975
user_004,neo4j-graph,2026-06-19,18,0.57,0,5,0,0,0.0,1.185,0.517,89,1,0.97
user_004,neo4j-graph,2026-06-21,20,0.57,2,6,1,0,1.0,1.185,0.517,20,0,0.6461
user_004,neo4j-graph,2026-06-22,21,0.57,0,8,1,1,0.5,1.185,0.517,81,1,0.97
user_004,neo4j-graph,2026-06-26,25,0.57,4,9,2,1,0.667,1.185,0.517,92,1,0.457
user_004,vector-db,2026-06-28,27,0.58,4,1,0,0,0.0,1.185,0.517,29,0,0.1501
user_004,pandas,2026-06-30,29,0.38,15,4,1,1,0.5,1.185,0.517,44,0,0.0849
user_005,vector-db,2026-06-02,1,0.58,0,1,0,0,0.0,0.702,0.693,77,1,0.97
user_005,neo4j-graph,2026-06-03,2,0.57,2,1,0,0,0.0,0.702,0.693,40,0,0.3287
user_005,vector-db,2026-06-03,2,0.58,1,2,1,0,1.0,0.702,0.693,77,1,0.6649
user_005,classification,2026-06-04,3,0.52,2,2,0,0,0.0,0.702,0.693,47,0,0.4456
user_005,classification,2026-06-05,4,0.52,1,3,0,1,0.0,0.702,0.693,100,1,0.6422
user_005,linear-regression,2026-06-08,7,0.5,7,1,0,0,0.0,0.702,0.693,38,0,0.0782
user_005,vector-db,2026-06-09,8,0.58,2,4,2,0,1.0,0.702,0.693,39,0,0.5609
user_005,vector-db,2026-06-09,8,0.58,0,5,2,1,0.667,0.702,0.693,84,1,0.97
user_005,linear-regression,2026-06-11,10,0.5,3,2,0,1,0.0,0.702,0.693,38,0,0.1951
user_005,rag,2026-06-12,11,0.62,4,2,0,0,0.0,0.702,0.693,61,0,0.1615
user_005,classification,2026-06-14,13,0.52,2,7,1,1,0.5,0.702,0.693,84,1,0.6398
user_005,classification,2026-06-16,15,0.52,2,8,2,1,0.667,0.702,0.693,77,1,0.6858
user_005,rag,2026-06-16,15,0.62,4,3,0,1,0.0,0.702,0.693,45,0,0.1347
user_005,classification,2026-06-19,18,0.52,3,9,3,1,0.75,0.702,0.693,77,1,0.5992
user_005,classification,2026-06-20,19,0.52,1,10,4,1,0.8,0.702,0.693,76,1,0.8937
user_005,statistics,2026-06-20,19,0.55,5,1,0,0,0.0,0.702,0.693,35,0,0.1131
user_005,rag,2026-06-21,20,0.62,5,4,0,2,0.0,0.702,0.693,51,0,0.0864
user_005,rag,2026-06-22,21,0.62,1,5,0,3,0.0,0.702,0.693,96,1,0.4906
user_005,rag,2026-06-25,24,0.62,1,7,1,3,0.25,0.702,0.693,99,1,0.6698
user_005,classification,2026-06-27,26,0.52,6,12,5,1,0.833,0.702,0.693,85,1,0.457
user_005,vector-db,2026-06-29,28,0.58,1,11,3,1,0.75,0.702,0.693,78,1,0.8813
user_006,vector-db,2026-06-07,6,0.58,4,2,0,0,0.0,0.906,0.378,57,0,0.1749
user_006,classification,2026-06-08,7,0.52,4,1,0,0,0.0,0.906,0.378,38,0,0.129
user_006,prompt-engineering,2026-06-09,8,0.35,8,1,0,0,0.0,0.906,0.378,55,0,0.0722
user_006,neo4j-graph,2026-06-11,10,0.57,3,2,0,0,0.0,0.906,0.378,80,1,0.2775
user_006,vector-db,2026-06-11,10,0.58,0,6,0,1,0.0,0.906,0.378,80,1,0.97
user_006,prompt-engineering,2026-06-20,19,0.35,11,2,0,1,0.0,0.906,0.378,27,0,0.0488
user_006,neo4j-graph,2026-06-22,21,0.57,11,3,1,0,1.0,0.906,0.378,67,0,0.0597
user_006,vector-db,2026-06-26,25,0.58,1,9,1,1,0.5,0.906,0.378,99,1,0.8443
user_006,neo4j-graph,2026-06-28,27,0.57,6,4,1,1,0.5,0.906,0.378,29,0,0.1178
user_006,classification,2026-06-30,29,0.52,5,8,0,1,0.0,0.906,0.378,57,0,0.3265
user_007,fastapi,2026-06-06,5,0.4,2,1,0,0,0.0,0.587,0.505,53,0,0.3873
user_007,classification,2026-06-10,9,0.52,8,1,0,0,0.0,0.587,0.505,58,0,0.0423
user_007,classification,2026-06-11,10,0.52,1,2,0,1,0.0,0.587,0.505,94,1,0.5275
user_007,fastapi,2026-06-12,11,0.4,6,3,0,1,0.0,0.587,0.505,25,0,0.0997
user_007,fastapi,2026-06-13,12,0.4,1,4,0,2,0.0,0.587,0.505,99,1,0.63
user_007,classification,2026-06-16,15,0.52,5,3,1,1,0.5,0.587,0.505,30,0,0.1177
user_007,python-basics,2026-06-17,16,0.22,6,1,0,0,0.0,0.587,0.505,48,0,0.1189
user_007,classification,2026-06-17,16,0.52,1,4,1,2,0.333,0.587,0.505,82,1,0.6022
user_007,rag,2026-06-18,17,0.62,7,2,0,0,0.0,0.587,0.505,63,0,0.0594
user_007,rag,2026-06-19,18,0.62,1,3,0,1,0.0,0.587,0.505,52,0,0.5808
user_007,fastapi,2026-06-19,18,0.4,5,6,1,2,0.333,0.587,0.505,28,0,0.2376
user_007,python-basics,2026-06-19,18,0.22,2,2,0,1,0.0,0.587,0.505,55,0,0.4258
user_007,linear-regression,2026-06-20,19,0.5,5,3,0,0,0.0,0.587,0.505,68,0,0.1731
user_007,vector-db,2026-06-20,19,0.58,8,1,0,0,0.0,0.587,0.505,47,0,0.0424
user_007,fastapi,2026-06-20,19,0.4,1,7,1,3,0.25,0.587,0.505,21,0,0.7308
user_007,rag,2026-06-22,21,0.62,3,4,0,2,0.0,0.587,0.505,70,0,0.162
user_007,vector-db,2026-06-23,22,0.58,3,2,0,1,0.0,0.587,0.505,97,1,0.1549
user_007,prompt-engineering,2026-06-24,23,0.35,9,1,0,0,0.0,0.587,0.505,47,0,0.0476
user_007,linear-regression,2026-06-29,28,0.5,1,5,0,1,0.0,0.587,0.505,91,1,0.7292
user_007,python-basics,2026-06-30,29,0.22,2,5,0,2,0.0,0.587,0.505,36,0,0.5568
user_008,oop,2026-06-02,1,0.48,1,1,0,0,0.0,1.036,0.4,22,0,0.6227
user_008,linear-regression,2026-06-03,2,0.5,1,1,0,0,0.0,1.036,0.4,86,1,0.614
user_008,oop,2026-06-12,11,0.48,1,5,0,1,0.0,1.036,0.4,78,1,0.7843
user_008,oop,2026-06-13,12,0.48,1,6,1,1,0.5,1.036,0.4,94,1,0.8239
user_008,linear-regression,2026-06-14,13,0.5,2,4,1,0,1.0,1.036,0.4,40,0,0.5996
user_008,linear-regression,2026-06-15,14,0.5,1,6,1,1,0.5,1.036,0.4,82,1,0.7962
user_008,fastapi,2026-06-17,16,0.4,4,6,0,0,0.0,1.036,0.4,85,1,0.4618
user_008,pandas,2026-06-18,17,0.38,6,2,0,0,0.0,1.036,0.4,91,1,0.1643
user_008,oop,2026-06-19,18,0.48,1,9,2,1,0.667,1.036,0.4,91,1,0.8895
user_008,pandas,2026-06-21,20,0.38,3,3,1,0,1.0,1.036,0.4,58,0,0.472
user_008,linear-regression,2026-06-21,20,0.5,1,9,2,1,0.667,1.036,0.4,76,1,0.8668
user_008,oop,2026-06-22,21,0.48,3,11,3,1,0.75,1.036,0.4,82,1,0.6935
user_008,oop,2026-06-30,29,0.48,7,13,4,1,0.8,1.036,0.4,43,0,0.4564
user_009,linear-regression,2026-06-05,4,0.5,4,1,0,0,0.0,0.843,0.535,39,0,0.1687
user_009,linear-regression,2026-06-05,4,0.5,0,2,0,1,0.0,0.843,0.535,75,1,0.97
user_009,classification,2026-06-06,5,0.52,5,1,0,0,0.0,0.843,0.535,69,0,0.104
user_009,fastapi,2026-06-09,8,0.4,3,1,0,0,0.0,0.843,0.535,53,0,0.2627
user_009,oop,2026-06-11,10,0.48,2,2,0,0,0.0,0.843,0.535,84,1,0.4806
user_009,classification,2026-06-11,10,0.52,0,3,0,1,0.0,0.843,0.535,97,1,0.97
user_009,linear-regression,2026-06-12,11,0.5,2,5,1,1,0.5,0.843,0.535,86,1,0.5789
user_009,oop,2026-06-15,14,0.48,4,3,1,0,1.0,0.843,0.535,88,1,0.3154
user_009,oop,2026-06-17,16,0.48,1,5,2,0,1.0,0.843,0.535,98,1,0.8418
user_009,classification,2026-06-19,18,0.52,5,6,1,1,0.5,0.843,0.535,93,1,0.285
user_009,sql-joins,2026-06-20,19,0.42,2,5,0,0,0.0,0.843,0.535,81,1,0.6617
user_009,sql-joins,2026-06-21,20,0.42,1,6,1,0,1.0,0.843,0.535,93,1,0.8636
user_009,sql-joins,2026-06-23,22,0.42,0,9,2,0,1.0,0.843,0.535,80,1,0.97
user_009,classification,2026-06-23,22,0.52,4,8,2,1,0.667,0.843,0.535,38,0,0.4667
user_009,linear-regression,2026-06-25,24,0.5,3,10,2,1,0.667,0.843,0.535,68,0,0.6385
user_009,oop,2026-06-25,24,0.48,1,9,3,0,1.0,0.843,0.535,94,1,0.9075
user_009,classification,2026-06-29,28,0.52,6,9,2,2,0.5,0.843,0.535,20,0,0.2755
user_009,sql-joins,2026-06-30,29,0.42,1,12,3,0,1.0,0.843,0.535,90,1,0.94
user_010,python-basics,2026-06-03,2,0.22,2,1,0,0,0.0,1.048,0.835,96,1,0.5451
user_010,pandas,2026-06-09,8,0.38,7,1,0,0,0.0,1.048,0.835,40,0,0.1391
user_010,prompt-engineering,2026-06-11,10,0.35,1,3,0,0,0.0,1.048,0.835,60,0,0.8406
user_010,linear-regression,2026-06-12,11,0.5,2,2,0,0,0.0,1.048,0.835,62,0,0.4884
user_010,statistics,2026-06-14,13,0.55,12,1,0,0,0.0,1.048,0.835,49,0,0.1016
user_010,neo4j-graph,2026-06-15,14,0.57,8,1,0,0,0.0,1.048,0.835,98,1,0.1078
user_010,neo4j-graph,2026-06-16,15,0.57,1,2,1,0,1.0,1.048,0.835,77,1,0.7295
user_010,classification,2026-06-16,15,0.52,1,2,0,0,0.0,1.048,0.835,75,1,0.7383
user_010,neo4j-graph,2026-06-23,22,0.57,4,4,2,0,1.0,1.048,0.835,66,0,0.3815
user_010,prompt-engineering,2026-06-24,23,0.35,10,6,0,1,0.0,1.048,0.835,53,0,0.1882
user_010,fastapi,2026-06-26,25,0.4,6,4,0,0,0.0,1.048,0.835,79,1,0.2848
user_010,prompt-engineering,2026-06-27,26,0.35,1,8,0,2,0.0,1.048,0.835,75,1,0.8814
user_011,oop,2026-06-02,1,0.48,1,1,0,0,0.0,0.975,0.751,34,0,0.6524
user_011,classification,2026-06-04,3,0.52,1,1,0,0,0.0,0.975,0.751,93,1,0.6612
user_011,classification,2026-06-05,4,0.52,1,2,1,0,1.0,0.975,0.751,87,1,0.7456
user_011,neo4j-graph,2026-06-16,15,0.57,4,2,0,0,0.0,0.975,0.751,88,1,0.2125
user_011,vector-db,2026-06-20,19,0.58,0,7,0,0,0.0,0.975,0.751,85,1,0.97
user_011,neo4j-graph,2026-06-21,20,0.57,3,4,1,0,1.0,0.975,0.751,85,1,0.4457
user_011,oop,2026-06-23,22,0.48,12,5,0,1,0.0,0.975,0.751,65,0,0.1046
user_011,classification,2026-06-25,24,0.52,2,8,2,0,1.0,0.975,0.751,84,1,0.7741
user_011,classification,2026-06-25,24,0.52,0,9,3,0,1.0,0.975,0.751,77,1,0.97
user_011,linear-regression,2026-06-26,25,0.5,3,2,0,0,0.0,0.975,0.751,58,0,0.3446
user_011,classification,2026-06-27,26,0.52,2,10,4,0,1.0,0.975,0.751,95,1,0.8226
user_011,vector-db,2026-06-27,26,0.58,2,10,1,0,1.0,0.975,0.751,100,1,0.7549
user_012,fastapi,2026-06-07,6,0.4,5,2,0,0,0.0,0.889,0.394,57,0,0.187
user_012,fastapi,2026-06-11,10,0.4,2,6,0,1,0.0,0.889,0.394,52,0,0.6422
user_012,oop,2026-06-11,10,0.48,1,8,0,0,0.0,0.889,0.394,89,1,0.8698
user_012,fastapi,2026-06-15,14,0.4,4,7,0,2,0.0,0.889,0.394,95,1,0.3548
user_012,linear-regression,2026-06-17,16,0.5,3,3,0,0,0.0,0.889,0.394,47,0,0.3589
user_012,fastapi,2026-06-17,16,0.4,2,8,1,2,0.333,0.889,0.394,23,0,0.6604
user_012,linear-regression,2026-06-18,17,0.5,1,4,0,1,0.0,0.889,0.394,96,1,0.6899
user_012,oop,2026-06-19,18,0.48,6,10,1,0,1.0,0.889,0.394,61,0,0.4329
user_012,linear-regression,2026-06-20,19,0.5,2,5,1,1,0.5,0.889,0.394,77,1,0.5454
user_012,rag,2026-06-21,20,0.62,1,4,0,0,0.0,0.889,0.394,75,1,0.7253
user_012,rag,2026-06-22,21,0.62,1,5,1,0,1.0,0.889,0.394,88,1,0.7689
user_012,oop,2026-06-23,22,0.48,4,11,1,1,0.5,0.889,0.394,68,0,0.533
user_012,rag,2026-06-26,25,0.62,4,7,2,0,1.0,0.889,0.394,89,1,0.4077
user_012,linear-regression,2026-06-27,26,0.5,0,7,2,1,0.667,0.889,0.394,76,1,0.97
user_012,linear-regression,2026-06-27,26,0.5,0,8,3,1,0.75,0.889,0.394,88,1,0.97
user_013,classification,2026-06-01,0,0.52,0,1,0,0,0.0,0.617,0.407,88,1,0.97
user_013,oop,2026-06-07,6,0.48,3,1,0,0,0.0,0.617,0.407,69,0,0.2169
user_013,vector-db,2026-06-11,10,0.58,2,3,0,0,0.0,0.617,0.407,23,0,0.4483
user_013,statistics,2026-06-15,14,0.55,1,3,0,0,0.0,0.617,0.407,75,1,0.6712
user_013,vector-db,2026-06-19,18,0.58,8,4,0,1,0.0,0.617,0.407,22,0,0.0474
user_013,fastapi,2026-06-20,19,0.4,15,2,0,0,0.0,0.617,0.407,35,0,0.0304
user_013,statistics,2026-06-21,20,0.55,1,5,1,0,1.0,0.617,0.407,100,1,0.7562
user_013,sql-joins,2026-06-21,20,0.42,4,5,0,0,0.0,0.617,0.407,89,1,0.402
user_013,fastapi,2026-06-22,21,0.4,0,4,0,1,0.0,0.617,0.407,93,1,0.97
user_013,pandas,2026-06-23,22,0.38,18,2,0,0,0.0,0.617,0.407,70,0,0.03
user_013,sql-joins,2026-06-23,22,0.42,2,6,1,0,1.0,0.617,0.407,92,1,0.6844
user_013,statistics,2026-06-23,22,0.55,1,7,2,0,1.0,0.617,0.407,20,0,0.8165
user_013,statistics,2026-06-24,23,0.55,1,8,2,1,0.667,0.617,0.407,91,1,0.7913
user_013,statistics,2026-06-26,25,0.55,2,9,3,1,0.75,0.617,0.407,93,1,0.6537
user_013,statistics,2026-06-26,25,0.55,0,10,4,1,0.8,0.617,0.407,83,1,0.97
user_013,classification,2026-06-27,26,0.52,3,7,1,0,1.0,0.617,0.407,40,0,0.5334
user_013,sql-joins,2026-06-30,29,0.42,7,7,2,0,1.0,0.617,0.407,80,1,0.3039
user_013,vector-db,2026-06-30,29,0.58,2,6,0,2,0.0,0.617,0.407,55,0,0.4288
user_014,pandas,2026-06-03,2,0.38,2,1,0,0,0.0,0.629,0.193,89,1,0.3998
user_014,sql-joins,2026-06-08,7,0.42,0,4,0,0,0.0,0.629,0.193,93,1,0.97
user_014,linear-regression,2026-06-09,8,0.5,1,3,0,0,0.0,0.629,0.193,31,0,0.6991
user_014,python-basics,2026-06-09,8,0.22,6,1,0,0,0.0,0.629,0.193,56,0,0.0958
user_014,pandas,2026-06-10,9,0.38,6,3,1,0,1.0,0.629,0.193,51,0,0.1855
user_014,linear-regression,2026-06-12,11,0.5,0,5,0,1,0.0,0.629,0.193,85,1,0.97
user_014,pandas,2026-06-14,13,0.38,4,5,1,1,0.5,0.629,0.193,43,0,0.3246
user_014,pandas,2026-06-15,14,0.38,1,6,1,2,0.333,0.629,0.193,47,0,0.7291
user_014,sql-joins,2026-06-20,19,0.42,12,5,1,0,1.0,0.629,0.193,67,0,0.0575
user_014,sql-joins,2026-06-22,21,0.42,2,6,1,1,0.5,0.629,0.193,66,0,0.5746
user_014,sql-joins,2026-06-23,22,0.42,1,7,1,2,0.333,0.629,0.193,89,1,0.7319
user_014,pandas,2026-06-23,22,0.38,6,8,1,3,0.25,0.629,0.193,44,0,0.1618
user_014,linear-regression,2026-06-24,23,0.5,9,7,1,1,0.5,0.629,0.193,68,0,0.1037
user_014,sql-joins,2026-06-25,24,0.42,2,8,2,2,0.5,0.629,0.193,75,1,0.5972
user_014,oop,2026-06-26,25,0.48,8,5,0,0,0.0,0.629,0.193,47,0,0.1247
user_014,pandas,2026-06-27,26,0.38,4,9,1,4,0.2,0.629,0.193,55,0,0.2503
user_014,classification,2026-06-28,27,0.52,5,2,0,0,0.0,0.629,0.193,26,0,0.0865
user_014,pandas,2026-06-30,29,0.38,3,10,1,5,0.167,0.629,0.193,50,0,0.3067
user_015,oop,2026-06-04,3,0.48,3,2,0,0,0.0,1.098,0.366,54,0,0.3044
user_015,vector-db,2026-06-06,5,0.58,1,1,0,0,0.0,1.098,0.366,27,0,0.5746
user_015,statistics,2026-06-08,7,0.55,1,1,0,0,0.0,1.098,0.366,75,1,0.5975
user_015,classification,2026-06-10,9,0.52,3,2,0,0,0.0,1.098,0.366,26,0,0.3075
user_015,statistics,2026-06-11,10,0.55,3,2,1,0,1.0,1.098,0.366,46,0,0.3109
user_015,prompt-engineering,2026-06-12,11,0.35,1,1,0,0,0.0,1.098,0.366,85,1,0.6978
user_015,oop,2026-06-13,12,0.48,5,4,0,1,0.0,1.098,0.366,21,0,0.186
user_015,prompt-engineering,2026-06-17,16,0.35,2,4,1,0,1.0,1.098,0.366,97,1,0.6749
user_015,fastapi,2026-06-17,16,0.4,1,3,0,0,0.0,1.098,0.366,93,1,0.772
user_015,fastapi,2026-06-17,16,0.4,0,4,1,0,1.0,1.098,0.366,76,1,0.97
user_015,statistics,2026-06-18,17,0.55,7,3,1,1,0.5,1.098,0.366,49,0,0.0837
user_015,rag,2026-06-19,18,0.62,13,2,0,0,0.0,1.098,0.366,51,0,0.0581
user_015,fastapi,2026-06-19,18,0.4,2,5,2,0,1.0,1.098,0.366,92,1,0.691
user_015,statistics,2026-06-20,19,0.55,2,4,1,2,0.333,1.098,0.366,38,0,0.3643
user_015,pandas,2026-06-23,22,0.38,9,1,0,0,0.0,1.098,0.366,63,0,0.0686
user_015,prompt-engineering,2026-06-24,23,0.35,1,6,2,0,1.0,1.098,0.366,87,1,0.8858
user_015,prompt-engineering,2026-06-25,24,0.35,1,7,3,0,1.0,1.098,0.366,92,1,0.9053
user_015,statistics,2026-06-26,25,0.55,6,5,1,3,0.25,1.098,0.366,41,0,0.0753
user_015,rag,2026-06-28,27,0.62,4,4,0,1,0.0,1.098,0.366,58,0,0.1818
user_015,statistics,2026-06-28,27,0.55,2,6,1,4,0.2,1.098,0.366,61,0,0.2749
user_015,classification,2026-06-29,28,0.52,4,4,0,1,0.0,1.098,0.366,65,0,0.2228
user_016,oop,2026-06-09,8,0.48,5,3,0,0,0.0,0.88,0.742,40,0,0.2426
user_016,statistics,2026-06-10,9,0.55,2,3,0,0,0.0,0.88,0.742,35,0,0.5275
user_016,fastapi,2026-06-16,15,0.4,4,2,0,0,0.0,0.88,0.742,61,0,0.3026
user_016,fastapi,2026-06-19,18,0.4,2,4,0,1,0.0,0.88,0.742,78,1,0.5673
user_016,statistics,2026-06-25,24,0.55,4,8,0,1,0.0,0.88,0.742,98,1,0.4135
user_016,rag,2026-06-25,24,0.62,15,2,0,0,0.0,0.88,0.742,38,0,0.0799
user_016,oop,2026-06-26,25,0.48,13,6,0,1,0.0,0.88,0.742,43,0,0.0992
user_016,oop,2026-06-27,26,0.48,1,7,0,2,0.0,0.88,0.742,86,1,0.7885
user_016,sql-joins,2026-06-28,27,0.42,0,7,0,0,0.0,0.88,0.742,100,1,0.97
user_016,statistics,2026-06-29,28,0.55,2,10,1,1,0.5,0.88,0.742,26,0,0.7223
user_016,fastapi,2026-06-30,29,0.4,10,7,1,1,0.5,0.88,0.742,87,1,0.1828
user_017,classification,2026-06-06,5,0.52,2,1,0,0,0.0,1.056,0.578,24,0,0.3715
user_017,classification,2026-06-08,7,0.52,2,2,0,1,0.0,1.056,0.578,87,1,0.3262
user_017,classification,2026-06-10,9,0.52,2,3,1,1,0.5,1.056,0.578,76,1,0.4501
user_017,oop,2026-06-11,10,0.48,5,2,0,0,0.0,1.056,0.578,99,1,0.191
user_017,classification,2026-06-15,14,0.52,0,9,2,1,0.667,1.056,0.578,91,1,0.97
user_017,neo4j-graph,2026-06-17,16,0.57,7,4,0,0,0.0,1.056,0.578,37,0,0.1681
user_017,oop,2026-06-17,16,0.48,1,4,1,0,1.0,1.056,0.578,79,1,0.821
user_017,neo4j-graph,2026-06-19,18,0.57,1,6,0,1,0.0,1.056,0.578,94,1,0.7972
user_017,oop,2026-06-19,18,0.48,2,5,2,0,1.0,1.056,0.578,97,1,0.6845
user_017,fastapi,2026-06-24,23,0.4,4,3,0,0,0.0,1.056,0.578,38,0,0.3452
user_017,neo4j-graph,2026-06-24,23,0.57,0,8,1,1,0.5,1.056,0.578,92,1,0.97
user_017,oop,2026-06-25,24,0.48,6,6,3,0,1.0,1.056,0.578,87,1,0.3515
user_017,classification,2026-06-28,27,0.52,13,10,3,1,0.75,1.056,0.578,65,0,0.165
user_017,oop,2026-06-28,27,0.48,3,7,4,0,1.0,1.056,0.578,94,1,0.6427
user_017,fastapi,2026-06-30,29,0.4,1,5,0,1,0.0,1.056,0.578,76,1,0.8028
user_018,vector-db,2026-06-03,2,0.58,2,1,0,0,0.0,1.011,0.258,41,0,0.3291
user_018,vector-db,2026-06-05,4,0.58,2,2,0,1,0.0,1.011,0.258,76,1,0.2841
user_018,linear-regression,2026-06-06,5,0.5,0,2,0,0,0.0,1.011,0.258,86,1,0.97
user_018,linear-regression,2026-06-07,6,0.5,1,3,1,0,1.0,1.011,0.258,99,1,0.7486
