user_id,concept_id,concept_name,category,elapsed_days,prior_exposures,prior_accuracy,predicted_recall_probability,estimated_half_life_days,risk_score
user_058,rag,Retrieval-Augmented Generation,ai,17,2,1.0,0.00024603250589451403,1.4179826204681305,0.9997539674941055
user_031,neo4j-graph,Neo4j Knowledge Graphs,backend,16,3,0.0,0.00024996740244157624,1.3371249282061453,0.9997500325975585
user_030,statistics,Statistics Fundamentals,data-science,15,1,0.0,0.0002558897110265251,1.2571036581347668,0.9997441102889735
user_074,neo4j-graph,Neo4j Knowledge Graphs,backend,23,1,0.0,0.00026795618109759983,1.9383576506081417,0.9997320438189023
user_061,pandas,Pandas DataFrames,data,16,1,0.0,0.000272071648013151,1.3509262482690731,0.9997279283519869
user_043,sql-joins,SQL Joins,data,15,1,0.0,0.0002725250036530787,1.2667502620390818,0.999727474996347
user_044,rag,Retrieval-Augmented Generation,ai,15,3,0.0,0.0002793600525652689,1.2705848893679612,0.9997206399474348
user_057,rag,Retrieval-Augmented Generation,ai,12,1,0.0,0.00029074375476555636,1.0214535743645923,0.9997092562452344
user_092,neo4j-graph,Neo4j Knowledge Graphs,backend,14,5,0.0,0.0002968596341642804,1.1947501199910333,0.9997031403658357
user_050,rag,Retrieval-Augmented Generation,ai,18,4,0.0,0.00033946057603493067,1.5618941768034154,0.999660539423965
user_091,classification,Classification Metrics,machine-learning,17,4,1.0,0.00035562292649035995,1.4837618788055922,0.9996443770735096
user_058,fastapi,FastAPI Backend,backend,19,2,0.0,0.0004583216053321496,1.7130463316902342,0.9995416783946679
user_098,rag,Retrieval-Augmented Generation,ai,20,7,0.0,0.00048297861611395316,1.815581729459527,0.9995170213838861
user_088,sql-joins,SQL Joins,data,18,1,0.0,0.0005382639280820037,1.6575503494567054,0.999461736071918
user_046,neo4j-graph,Neo4j Knowledge Graphs,backend,24,2,0.0,0.0005690623625083017,2.2265256807386025,0.9994309376374917
user_019,prompt-engineering,Prompt Engineering,ai,16,1,0.0,0.000606038711521219,1.4969636297711595,0.9993939612884788
user_038,rag,Retrieval-Augmented Generation,ai,25,1,0.0,0.0006085202453820296,2.3402965010498877,0.999391479754618
user_091,neo4j-graph,Neo4j Knowledge Graphs,backend,12,2,0.0,0.0006332899568736986,1.1294281157249675,0.9993667100431263
